created_at,tweet,Категорія,Категорія_Ід
02.09.2021 18:37:30,Сьогодні на @Tokyo2020 #Paralympics плавець Максим Крипак здобув для 🇺🇦 20-ту золоту медаль. Перед тим «золото» завоювали наші Марія Помазан і Владислав Загребельний. Ще шестеро 🇺🇦 паралімпійців здобули «срібло» і двоє – «бронзу». Тепер у збірної 🇺🇦 84 нагороди! Пишаємося вами!  https://t.co/I9MKat8rEL,Вшанування,7
01.09.2021 23:33:40,"На зустрічі з @JoeBiden пріоритет – безпекові питання. Зокрема, безпека на #Донбасі, в окупованому Криму, в Чорноморсько-Азовському регіоні й енергетична безпека України та Європи. Передали @POTUS список з майже 450 утримуваних українців, щоб разом домагатися їхнього звільнення.  https://t.co/Pr5ilCvejI",Подія,5
01.09.2021 21:07:43,"Починаємо важливі переговори з @JoeBiden. На порядку денному – безпека, зокрема енергетична, оновлення стратегічного партнерства. Дякую @POTUS за підтримку територіальної цілісності 🇺🇦 та допомогу у протидії агресії РФ. Разом рухатимемося вперед шляхом інтеграції в ЄС і @NATO.",Сентенція,4
01.09.2021 18:54:45,У 8-й день @Tokyo 2020 #Paralympics до скарбнички збірної 🇺🇦 додалися ще 2 золоті нагороди – плавець Максим Крипак і легкоатлетка Анастасія Москаленко показали справжню волю до перемоги! Також наші спортсмени здобули 2 «срібла» та 4 «бронзи»! Вітаю медалістів! Ви найкращі!  https://t.co/fIpRvksBng,Вшанування,7
01.09.2021 09:08:57,"Школярів, студентів, їхніх батьків, а також усіх вчителів і лекторів – з 1 вересня! Працюймо над тим, щоб в усьому світі Україна мала репутацію країни мудрості та інтелектуалів!  https://t.co/i1Gr5VNuRb",Вшанування,7
01.09.2021 00:19:57,"Обговорили з @DavidMalpassWBG земельну реформу, іригацію та розвиток агросектору, який @WorldBank готовий підтримувати. Вітаю готовність до участі в трансформації України, зокрема в інфраструктурних проектах, програмах в енергетиці, вдосконаленні банківського сектору.  https://t.co/DWi0864JQo",Подія,5
31.08.2021 22:29:24,"Новий етап у співпраці 🇺🇦 і 🇺🇸 в оборонній сфері. У @DeptofDefense підписано угоду щодо стратегічних основ оборонного партнерства. Для нас дуже важлива підтримка з боку США територіальної цілісності України, набуття членства в @NATO й спільна протидія агресії РФ.  https://t.co/wbek3XYNGe",Подія,5
31.08.2021 20:09:08,"На @Tokyo2020 наші #паралімпійці знову показали, на що здатні! Маємо 13 нагород! Плавці Андрій Трусов і Максим Крипак та легкоатлет Максим Коваль принесли 🇺🇦 три «золота». Також наші спортсмени здобули 6 срібних і 4 бронзові медалі. Дякую за незламний дух і прагнення перемоги!  https://t.co/VN12pHYSnU",Вшанування,7
31.08.2021 19:07:40,"Україна має знову стати космічною державою. Сьогодні плідно обговорили з директором @NASA @SenBillNelson проекти, до яких 🇺🇦 може долучитися зі своїми унікальними космічними технологіями. І чекаємо Білла Нельсона з візитом в Україні!  https://t.co/sl4M0lBbJg",Подія,5
31.08.2021 18:04:23,Між Україною та США започатковано стратегічний діалог у сфері енергетики й клімату. Відповідну спільну заяву підписали міністр енергетики 🇺🇦 Герман Галущенко @minenergo_ua та 🇺🇸 @ENERGY @SecGranholm.  https://t.co/7ehmbGWmru,Сентенція,4
31.08.2021 17:49:53,"Вітаю підписання меморандуму між ДП НАЕК #Енергоатом та Westinghouse electric @W__Home про спільне будівництво енергоблоку #ХмельницькоїАЕС як пілотного проекту, а надалі – ще 4 блоків за їхньою технологією. Загальна вартість проекту – до $30 млрд.  https://t.co/xU4MwuHKsb",Сентенція,4
31.08.2021 15:40:06,Щиро вітаю #АлараКаріса з обранням Президентом Естонії за результатами голосування депутатів Рійгікогу @Riigikogu. Сподіваюся на продовження тісної співпраці 🇺🇦 та 🇪🇪 на благо наших народів.,Вшанування,7
30.08.2021 18:02:04,"У 6-й день @Tokyo2020 #Paralympics знову лунав гімн 🇺🇦! Завдяки Марині Литовченко, яка виборола «золото» в настільному тенісі, та Андрію Трусову, який випередив усіх у плаванні на спині. А ще 🇺🇦 паралімпійці завоювали 5 срібних і 4 бронзових медалі! Вітаю наших спортсменів!  https://t.co/aMBreyr7OC",Вшанування,7
29.08.2021 17:04:39,"Для України 5-й день на @Tokyo2020 #Paralympics знову став «золотим»! Легкоатлетка Оксана Зубковська та веслувальник Роман Полянський довели, що найкращі! Також наші паралімпійці завоювали п'ять срібних і дві бронзові медалі. Дякую за ці перемоги! Тримаємо за вас кулаки!  https://t.co/jB4eKGjlSs",Вшанування,7
28.08.2021 18:07:56,"Сьогодні до України прибуває ще близько 360 евакуйованих з Афганістану українців і громадян інших країн. Наші військові, розвідники й дипломати провели блискучу роботу. Україна у важкі часи не залишає своїх громадян у біді та допомагає іншим!  https://t.co/t9QCzSfsjX",Сентенція,4
28.08.2021 17:06:29,"Паралімпійці 🇺🇦 продовжують дивувати світ на @Tokyo2020 #Paralympics! У 4-й день змагань вони здобули 12 медалей: 5 золотих, 4 срібних і 3 бронзових. Вітаю Євгенія Богодайка, Максима Крипака, Михайла Сербіна, Єлизавету Мерешко, Дениса Дуброва й усіх наших призерів! Ви найкращі!  https://t.co/epbhOb99Up",Вшанування,7
28.08.2021 14:33:44,"Під час зустрічі з @sandumaiamd наголосив, що для 🇺🇦 дуже важливі теплі, дружні добросусідські відносини з 🇲🇩. Був радий відвідати урочистості з нагоди ювілею незалежності 🇲🇩.  https://t.co/rzeUhpdI9z",Подія,5
27.08.2021 18:29:21,"У третій день @Tokyo2020 #Paralympics наші спортсмени дали жару, завоювавши 13 медалей! Анна Стеценко та Мар’яна Шевчук принесли 🇺🇦 два «золота». Наші паралімпійці вибороли також 7 срібних і 4 бронзові нагороди. Вітаю хлопців і дівчат з перемогами! Всього у збірної 🇺🇦 22 медалі.  https://t.co/u8MXjwJpGk",Вшанування,7
27.08.2021 13:08:55,"Вітаю пані @sandumaiamd з 30-річчям незалежності Республіки Молдова. Незалежність наших країн – це результат зусиль багатьох поколінь. Україна завжди підтримуватиме територіальну цілісність 🇲🇩 у міжнародно визнаних кордонах. Бажаю дружньому народу 🇲🇩 миру, злагоди та процвітання.",Вшанування,7
26.08.2021 22:41:58,"Жахливий теракт у #Кабулі. Глибокі співчуття народам США й Афганістану, родинам усіх загиблих. Одужання пораненим. Тероризм має бути засуджений усіма сторонами в Афганістані. Спільно з партнерами маємо активніше працювати для евакуації тих, хто потребує допомоги.",Співчуття,2
26.08.2021 14:55:16,"Сьогодні на @Tokyo2020 #Paralympics ми взяли лише одне «срібло». Але як же тішить те, що для нашої плавчині Єлизавети Мерешко це вже друга медаль на змаганнях! Повага від усієї країни!  https://t.co/CCE3LJYFfQ",Вшанування,7
25.08.2021 15:38:35,"Вітаю паралімпійців 🇺🇦 з чудовими результатами в перший день на @Tokyo2020 #Paralympics! «Золото» принесла плавчиня Єлизавета Мерешко, «срібло» здобули Антон Коль, Максим Крипак, Олексій Вірченко, Артем Манько й Олена Федота, «бронзу» – Євгенія Бреус і Анна Гонтар. Ви неймовірні!  https://t.co/5ttEXO5BMw",Вшанування,7
24.08.2021 18:04:59,На зустрічі з @JY_LeDrian подякував за візит на 30-річчя незалежності 🇺🇦 та за участь 🇫🇷 у #КримськійПлатформі. Підтримка цієї ініціативи дуже важлива для нас. Очікую на візит @EmmanuelMacron до України.,Подія,5
24.08.2021 13:59:29,Мав приємну телефонну розмову з @IsraeliPM. Пан Прем’єр-міністр привітав Україну з 30-річчям незалежності. Від імені українського народу подякував дружньому народові 🇮🇱 за солідарність і теплі слова підтримки! Запросив @naftalibennett відвідати нашу країну.,Подія,5
24.08.2021 09:18:58,"30 років відновлення незалежності України. Сьогодні всі бачать: 🇺🇦 відбулась і посідає гідне місце серед вільних, демократичних держав. Ми впевнено дивимось у майбутнє, адже в нас – віковий досвід боротьби за свободу. З Днем Незалежності, рідна 🇺🇦! Ми тебе не підведемо!  https://t.co/zyWcqZrhJF",Вшанування,7
23.08.2021 22:57:10,"Вдячний @CharlesMichel за участь у саміті #КримськоїПлатформи й підтримку декларації з боку #ЄС і його членів. Домовилися про подальшу координацію зусиль у межах ініціативи задля деокупації Криму. Обговорили підготовку до 23-го Саміту Україна – ЄС, який відбудеться 12 жовтня.  https://t.co/i1ElIimPON",Подія,5
23.08.2021 21:29:58,Своєю участю й розумінням важливості #КримськоїПлатформи @SwedishPM ще раз засвідчив невипадковість однакових кольорів на прапорах 🇺🇦 і 🇸🇪. Ми розуміємо загрози й виклики в Балто-Чорноморському регіоні. Наші країни готові наповнювати новим змістом двосторонні відносини.  https://t.co/bpcA72MPvQ,Сентенція,4
23.08.2021 20:56:32,"Участь @AndrzejDuda у саміті #КримськоїПлатформи й висока оцінка цього заходу є підтвердженням підтримки територіальної цілісності 🇺🇦. Потрібно разом протидіяти загрозам, які створює #РФ. Запропонував 🇵🇱 співпрацю у сфері енергобезпеки та інфраструктури.  https://t.co/229Ugw1HYP",Сентенція,4
23.08.2021 17:35:24,На зустрічі з @valstsgriba подякував за його участь у саміті #КримськоїПлатформи та готовність наповнювати її практичним змістом. 🇱🇻 завжди підтримує суверенітет і територіальну цілісність 🇺🇦. Наші країни поглиблюватимуть діалог і співпрацю на шляху України до #ЄС і @NATO.  https://t.co/7wtaCqSECj,Подія,5
23.08.2021 14:51:29,"З #Афганістану вилетів третій український літак, який евакуював 103 людини. Серед них – 79 громадян України та членів їхніх сімей. Борт уже в безпеці й на шляху додому. Дякую МЗС за організацію цієї операції. Україна не кидає своїх у біді!",Сентенція,4
23.08.2021 11:09:41,"🇺🇦 – це більше ніж прапор чи офіційний атрибут. Це – символ нашої великої сім’ї. Це гордість, віра, сльози, радість і батьківське розчулення. Це символ того, що крокувати вгору й бути на висоті набагато легше разом. Ми разом піднімаємо прапор і підніматимемо Україну!  https://t.co/dbH0SYhjjQ",Вшанування,7
22.08.2021 19:50:10,"Під час телефонної розмови подякував @RTErdogan за солідарність 🇹🇷 з українським народом і підтримку суверенітету й територіальної цілісності 🇺🇦. Попросив Президента Туреччини сприяти звільненню понад 100 кримських татар, яких незаконно утримує Росія.",Подія,5
22.08.2021 08:29:33,"Україна продовжує повертати своїх громадян з #Афганістану, де загострилася безпекова ситуація. Вранці до Києва з Кабула прибув наш військовий літак, яким евакуйовано 83 особи, зокрема 31 українець. Робимо все, щоб громадяни 🇺🇦 в усьому світі відчували захист своєї держави.  https://t.co/Mq1PNpNSjD",Сентенція,4
20.08.2021 23:33:40,"Для мене особисто й для України велика честь вітати Вселенського Патріарха #Варфоломія у Києві в дні, коли ми відзначаємо 30-річчя незалежності 🇺🇦. Цю важливу для України дату ми зустрічаємо разом з нашими найбільшими друзями.  https://t.co/NoDP8u6vdC",Вшанування,7
20.08.2021 12:12:28,Вітаю @KerstiKaljulaid з 30-річчям відновлення незалежності 🇪🇪. Ваша держава здолала історичні виклики й випробування та нині є повноправним членом європейської родини. Україна високо цінує підтримку Естонією нашої територіальної цілісності та допомогу на шляху до ЄС і НАТО.  https://t.co/UHguddwUGp,Вшанування,7
17.08.2021 12:37:53,"#РФ знову кричуще порушує права людини в окупованому Криму. Сьогодні вранці у домівках #кримськихтатар відбулися обшуки й затримання. Ці неприпустимі переслідування мають бути негайно припинені, а люди – звільнені. Світова спільнота має належним чином відреагувати на порушення.",Невдоволення,1
16.08.2021 01:41:35,"За уточненими даними, з Афганістану українським літаком всього вивезли майже 80 осіб, зокрема 8 українців та громадян інших держав, які попросили про термінову евакуацію. Головне, що всі вже в безпеці.",Сентенція,4
15.08.2021 23:50:20,"Через зростання насилля в Афганістані Україна активізує зусилля для безпечного повернення своїх громадян додому. З Кабула сьогодні евакуювали понад 30 українців. Незабаром вони будуть у безпеці. Україна завжди прийде на допомогу своїм громадянам, що б не відбувалось у світі!",Сентенція,4
15.08.2021 18:44:28,Жахлива новина – знайдений мертвим з вогнепальним пораненням мер Кривого Рогу Костянтин Павлов. Щирі співчуття близьким. Подію активно розслідують. На місці – поліція й усі необхідні фахівці. Найближчим часом зберу керівників усіх правоохоронних органів та заслухаю їхні доповіді.,Співчуття,2
14.08.2021 13:35:56,"Щирі співчуття Президенту @RTErdogan і дружньому 🇹🇷 народу у зв'язку із загибеллю людей і значними руйнуваннями через повені в Чорноморському регіоні. Поділяємо біль родин, у яких стихійне лихо забрало близьких. Бажаємо швидкого одужання постраждалим.",Співчуття,2
13.08.2021 19:18:31,"Український гімн прозвучав на Олімпіаді @Tokyo2020 саме завдяки #ЖанБеленюк! Він – один із найдостойніших синів України, ним пишається наш народ! А будь-які прояви расизму чи ксенофобії в Україні неприпустимі! Поліція має жорстко реагувати на такі випадки та припиняти їх.",Підтримка,6
08.08.2021 16:12:47,"Я дивився не всі виступи, однак бачив, зокрема, фото рук Людмили Лузан після запливів. І знаю точно, що кожен виступ наших олімпійців – це про самовіддачу. 19 медалей, безліч емоцій, неймовірна гордість. Дякую нашій збірній за виступ. Слава Україні!  https://t.co/UXiFJc6i9a",Вдячність,3
08.08.2021 11:05:36,"Не стало Олександра Ройтбурда, талановитого художника та директора Одеського художнього музею. Він довів, що музей можна зробити мистецьким простором, цікавим для широкої аудиторії. Його смерть – велика втрата для українського мистецтва. Вічна пам'ять.  https://t.co/LPprKUUkop",Співчуття,2
08.08.2021 06:32:50,"У завершальний день ігор @Tokyo2020 наша Олена Старікова зробила гучний акорд! Справжня львівська «ракета» показала світовий клас у спринті на велотреку, взявши «срібло»! Пишаємося тобою й усіма нашими олімпійцями! Ви принесли збірній 19 медалей, прославили Україну та себе!  https://t.co/0Ip1ruaoUt",Вшанування,7
07.08.2021 17:10:55,Субота щедра для нашої збірної на #олімпійські нагороди. Дякую Ярославі Магучіх за здобуття для України «бронзи» в стрибках у висоту. Всього у збірної 🇺🇦 вже 18 медалей @Tokyo2020! Вперед до нових вершин!  https://t.co/X9CrWRQW21,Вдячність,3
07.08.2021 15:33:33,"Ще одна історична «бронза» в артистичному плаванні на #Олімпіаді @Tokyo2020! Владислава Алексіїва, Марина Алексіїва, Катерина Резнік, Анастасія Савчук, Ксенія Сидоренко, Марта Федіна, Аліна Шинкаренко, Єлизавета Яхно, ваша командна робота вражає! 🇺🇦 пишається вами!  https://t.co/CBf8qxkZnK",Вшанування,7
07.08.2021 09:28:45,"Ще одне «срібло» в нашій скарбничці на #Олімпіаді! Справжній полтавський «отаман» Олександр Хижняк гідно боксував у вазі до 75 кг. 🇺🇦 має вже 16 нагород на іграх @Tokyo2020, і це ще не вечір!  https://t.co/BLtVQ6LyVx",Вшанування,7
07.08.2021 06:56:23,Наші каноїстки Людмила Лузан та Анастасія Четверікова на дистанції 500 м вибороли для України четверте «срібло» #Олімпіади. Для Людмили це вже друга медаль на іграх @Tokyo2020! Вітаю дівчат з чудовим результатом! Ви найкращі!  https://t.co/aej2amJg2o,Вшанування,7
