Term,Freq
дружба,11
досвід,11
допомагати,11
дати,11
група,11
герой,11
вільний,11
вогонь,11
взяти,11
бронзовий,11
Туреччина,11
Ізраїль,11
інвестор,10
щасливий,10
школа,10
створювати,10
срібло,10
спорт,10
розвивати,10
підписати,10
продовження,10
проведення,10
причина,10
привітати,10
постраждалий,10
подолати,10
памяті,10
одужання,10
оборона,10
необхідний,10
народження,10
нагода,10
місцевий,10
морський,10
молодь,10
минулий,10
межа,10
лікарня,10
конституційний,10
катастрофа,10
золото,10
захід,10
засідання,10
загроза,10
жахливий,10
дія,10
депутат,10
віра,10
військо,10
відбутися,10
вперше,10
впевнений,10
внесок,10
будівництво,10
активний,10
Польща,10
Іран,10
ім'я,9
щодня,9
чіткий,9
черговий,9
формат,9
упевнений,9
турист,9
тривати,9
тепло,9
судовий,9
стан,9
стабільність,9
спільнота,9
рівня,9
робочий,9
реальний,9
радість,9
підписання,9
підготовка,9
процес,9
приклад,9
прапор,9
практичний,9
потужний,9
пандемією,9
пан,9
особа,9
організація,9
оон,9
окупований,9
око,9
обіцяти,9
надання,9
моряк,9
медичний,9
лінія,9
людство,9
комісія,9
здоровий,9
закликати,9
забезпечити,9
ефективний,9
другий,9
додому,9
деокупації,9
демократичний,9
декларація,9
дата,9
головний,9
глобальний,9
вічний,9
високий,9
альянс,9
аеропорт,9
Литва,9
Австрія,9
Італія,9
ціна,8
цифровий,8
фахівець,8
ухвалити,8
тиша,8
створити,8
складний,8
склад,8
святкування,8
розширення,8
розбудова,8
північний,8
пройти,8
проблема,8
представник,8
правда,8
почати,8
послуга,8
посад,8
поранений,8
показати,8
пожежа,8
подія,8
повний,8
планета,8
оцінка,8
особисто,8
освіта,8
обовязково,8
надати,8
місяць,8
меморандум,8
липень,8
кількість,8
конституція,8
компанія,8
казати,8
зростання,8
запросити,8
енергетик,8
дух,8
домовитися,8
документ,8
довести,8
дно,8
дипломатичний,8
гідний,8
громада,8
глибокий,8
відчувати,8
відновити,8
відкритий,8
відзначити,8
воїн,8
важливість,8
Молдова,8
євроінтеграційних,7
євро,7
шанс,7
частина,7
форум,7
ухвалення,7
українсько,7
тримати,7
технологія,7
сигнал,7
росії,7
розуміння,7
просити,7
приємно,7
премєр,7
почуватися,7
польський,7
покоління,7
поговорити,7
повністю,7
повернутися,7
побачити,7
плідний,7
пдч,7
отримання,7
особливий,7
основа,7
олімпійський,7
окупація,7
окремий,7
незалежний,7
надзвичайно,7
мільйон,7
мрія,7
максима,7
людський,7
ксу,7
кращий,7
конфлікт,7
ключовий,7
кг,7
збройний,7
запрошення,7
законопроект,7
заклад,7
загибель,7
завтра,7
забезпечення,7
дякувати,7
думка,7
доступ,7
довіра,7
добробут,7
дитина,7
дипломат,7
демократія,7
галузь,7
газ,7
втрата,7
врегулювання,7
внутрішній,7
власний,7
виконання,7
вибороти,7
величезний,7
більшість,7
біль,7
благо,7
берегти,7
Михайло,7
Афганістан,7
інфраструктурних,6
інформація,6
інструмент,6
іноземний,6
інвестиційний,6
єдність,6
єднати,6
честь,6
чемпіонат,6
чемпіон,6
увага,6
турецький,6
татарин,6
східний,6
суддя,6
стратегія,6
смартфоні,6
сильніший,6
світло,6
рівність,6
розповісти,6
республіка,6
реабілітація,6
підтримати,6
підтвердити,6
професійний,6
прозорий,6
принцип,6
постачання,6
порядок,6
поглиблювати,6
повня,6
орган,6
олігарх,6
обєднують,6
обсяг,6
обрання,6
оборонний,6
новина,6
неможливо,6
небо,6
навчання,6
набуття,6
медик,6
макрофінансової,6
лікування,6
куточок,6
курс,6
культура,6
кошт,6
конференція,6
конструктивний,6
конкретний,6
карантину,6
канадський,6
золотий,6
знання,6
знайти,6
змагання,6
злагода,6
згідно,6
згоден,6
звязки,6
зацікавлений,6
запорука,6
журналіст,6
жити,6
жаль,6
енергетика,6
доля,6
долучитися,6
доводити,6
дивитися,6
денний,6
гордість,6
гарний,6
відзначати,6
відео,6
вищий,6
висловити,6
вибір,6
взаємний,6
верховний,6
вдома,6
безпечний,6
безпекову,6
бабин,6
активізація,6
аварія,6
Київ,6
Берлін,6
іт,5
існувати,5
яр,5
якнайшвидше,5
шановний,5
чорноморський,5
чистий,5
чин,5
ціль,5
цьогоріч,5
фінансовий,5
унікальний,5
тісно,5
традиція,5
точно,5
тиждень,5
сторінка,5
сторона,5
спосіб,5
сотня,5
смерть,5
слід,5
служба,5
складовий,5
символ,5
серпень,5
сервіс,5
санкція,5
річчям,5
різня,5
різний,5
роль,5
розраховувати,5
розмір,5
регіональний,5
піднімати,5
півострів,5
прояв,5
пропонувати,5
прозорість,5
продовжити,5
прогрес,5
присяга,5
припинити,5
прибути,5
почути,5
починати,5
потенціал,5
посол,5
посилити,5
посилення,5
порт,5
позитивний,5
подяка,5
повінь,5
повноцінний,5
повноправного,5
поважати,5
повага,5
побажати,5
період,5
першочерговий,5
переконаний,5
передовий,5
передати,5
переговори,5
партія,5
паралімпійці,5
паня,5
офіційний,5
особистий,5
олімпіада,5
обговорення,5
неможливий,5
нелегкий,5
незмінно,5
незаконно,5
негайно,5
наснаги,5
належний,5
налаштований,5
найвищий,5
надія,5
музей,5
мудрість,5
мор,5
луганський,5
литовський,5
кінець,5
крипак,5
кримінальний,5
космічний,5
коронавірусу,5
контракт,5
колега,5
клімат,5
категорія,5
змістовний,5
зміст,5
змінювати,5
змога,5
здолати,5
здобуття,5
здатний,5
збільшити,5
запуск,5
запрошувати,5
запропонувати,5
завоювати,5
забрати,5
жовтень,5
електронний,5
експерт,5
досягти,5
дорогий,5
допустити,5
даний,5
голодомор,5
головування,5
військовослужбовець,5
військово,5
відкрити,5
відбуватися,5
втілити,5
впровадження,5
вплив,5
висловлювати,5
винний,5
вимагати,5
вагомий,5
біда,5
бюджет,5
батьківщина,5
американський,5
активізувати,5
Японія,5
Швейцарія,5
Франція,5
Ужгород,5
Олена,5
Людмила,5
Андрій,5
covid,5
італійський,4
ініціювати,4
інформаційний,4
ідея,4
євроатлантичної,4
євроатлантичних,4
щонайменше,4
шукати,4
школяр,4
шкода,4
шведський,4
чути,4
чудовий,4
чиновник,4
четвертий,4
чеський,4
хвороба,4
фінал,4
фізичний,4
форма,4
фонд,4
учитель,4
успішно,4
указ,4
тісний,4
тренер,4
трансформація,4
трагічний,4
травень,4
телефон,4
сільський,4
схиляти,4
стійкий,4
століття,4
старт,4
стандарт,4
стабільний,4
співробітництво,4
співпрацювати,4
сприяння,4
справедливий,4
спортивний,4
син,4
сенатор,4
росія,4
рок,4
розумний,4
розмежування,4
розділяти,4
розгляд,4
рнбо,4
ризик,4
реформування,4
реагувати,4
рамка,4
ракета,4
підтвердження,4
підсумок,4
підписувати,4
протидіяти,4
простір,4
простий,4
провідний,4
призначення,4
президентський,4
працівник,4
початися,4
потребувати,4
потрапити,4
постійний,4
поспілкуватися,4
послідовний,4
попросити,4
попередній,4
покращення,4
показувати,4
поділяти,4
подібний,4
погляд,4
повертатися,4
побувати,4
планувати,4
плавання,4
переможець,4
переконливий,4
перезавантаження,4
переговорити,4
патріот,4
паспорт,4
пандемію,4
памятаємо,4
оцінити,4
остаточно,4
операція,4
оновлення,4
онлайн,4
озброєння,4
обєднатися,4
обстрілів,4
німеччини,4
нетерпіння,4
необхідність,4
неймовірний,4
наука,4
настати,4
населення,4
народний,4
напрям,4
намір,4
належати,4
надавати,4
міць,4
місія,4
менш,4
магія,4
любов,4
крутий,4
криз,4
контроль,4
керівництво,4
керівник,4
канцлер,4
йти,4
зупинити,4
зручний,4
зрозумілий,4
значно,4
зменшити,4
земельний,4
зелений,4
згадувати,4
звільнити,4
звучати,4
звершень,4
збільшення,4
зберегти,4
захоплений,4
заслуговувати,4
закінчитися,4
енергія,4
екіпаж,4
дізнатися,4
дівча,4
душ,4
думати,4
дотримання,4
досягнутий,4
доступний,4
домівка,4
долати,4
доказ,4
доза,4
дитячий,4
дистанція,4
директор,4
дезінформації,4
двері,4
дарувати,4
гроші,4
грати,4
голокосту,4
глибоко,4
генерал,4
галуза,4
вільна,4
відчуження,4
відсіч,4
відстоювати,4
відповідний,4
відповідати,4
відповідальний,4
відвідувати,4
вчора,4
втілення,4
вступ,4
всеосяжного,4
всебічний,4
вранці,4
впевнити,4
вода,4
вміти,4
вкотре,4
вирішення,4
випробування,4
виконувати,4
виділення,4
взаємини,4
вболіваємо,4
варта,4
важкий,4
брати,4
банківський,4
асоціація,4
антисемітизму,4
ангел,4
анастасія,4
актуальний,4
академія,4
Париж,4
Одеса,4
Марина,4
Латвія,4
Борис,4
Єлизавета,4
істина,3
існування,3
інституція,3
інвестувати,3
ізраїльський,3
єврей,3
якісний,3
якомога,3
якнайшвидшого,3
щороку,3
швидше,3
швеції,3
чорнобильський,3
чорний,3
четвірка,3
чесний,3
червень,3
цікавий,3
цивілізований,3
художній,3
характер,3
хабом,3
хабар,3
футбол,3
фундамент,3
фактично,3
учасник,3
урок,3
управління,3
уникнути,3
узгоджений,3
туризм,3
тріо,3
транш,3
традиційно,3
точка,3
торговельний,3
толерантність,3
тиск,3
технічний,3
теплий,3
тегерані,3
татар,3
талановитий,3
сім'я,3
сусід,3
сум,3
стійкість,3
страх,3
стежити,3
статися,3
стартапів,3
співтовариство,3
спокій,3
соціальний,3
сльоза,3
скоро,3
скорбота,3
складно,3
село,3
свідчити,3
свідчення,3
святість,3
садочок,3
ріг,3
рятувати,3
рухатися,3
рука,3
роковин,3
розпочати,3
римський,3
репресія,3
рейс,3
регулярний,3
реагування,3
расизму,3
ранок,3
підхід,3
пункт,3
професія,3
протистояти,3
пропозиція,3
промисловий,3
продуктивний,3
приємний,3
присутність,3
прийти,3
прийняття,3
приймати,3
призерів,3
приватизація,3
поїздка,3
потік,3
поліція,3
політ,3
полонений,3
покарання,3
погодитися,3
повітря,3
повідомити,3
повторитися,3
повертати,3
побудувати,3
побратим,3
побажання,3
платити,3
плат,3
плавці,3
перешкода,3
перетворення,3
переслідування,3
перемагати,3
пережити,3
передбачати,3
перегляд,3
перебувати,3
патріарх,3
офіцер,3
освітній,3
описати,3
оос,3
олімпійців,3
одночасно,3
обєднує,3
обєднані,3
обрати,3
обовязок,3
обличчя,3
обговорювати,3
німецький,3
нормандія,3
нормандському,3
нині,3
нетерпимості,3
непростий,3
насильство,3
народовий,3
народитися,3
напрямок,3
напрацювання,3
наполегливо,3
наповнення,3
міра,3
міжнародно,3
мріяти,3
молодий,3
молитися,3
молитва,3
миротворчий,3
механізм,3
мета,3
меркель,3
мерешко,3
малий,3
максимальний,3
макроекономічний,3
майданчик,3
ліцензія,3
лікар,3
лузан,3
лихо,3
легкоатлетка,3
кібербезпеки,3
ксенофобії,3
кс,3
кривий,3
кредит,3
красивий,3
кпвв,3
космос,3
користь,3
корисний,3
коридор,3
корабель,3
координація,3
книга,3
клас,3
йтися,3
зрозуміти,3
зовнішній,3
значний,3
значення,3
знаходити,3
зменшитися,3
зменшення,3
злочин,3
зичу,3
зелень,3
звільнений,3
звт,3
звертатися,3
зброя,3
західний,3
захистити,3
захворювання,3
засада,3
запровадити,3
запланований,3
записати,3
заможний,3
залучати,3
залишати,3
закінчення,3
законодавство,3
заклик,3
займатися,3
загальний,3
завершення,3
забути,3
забезпечувати,3
житель,3
етап,3
епідемія,3
емоційний,3
експорт,3
евакуація,3
дієвий,3
діяти,3
діяльність,3
дім,3
досягати,3
дослідження,3
донеччині,3
донецький,3
долар,3
докладати,3
дозволяти,3
дозволити,3
доброчесності,3
добро,3
добрити,3
динамік,3
див,3
детально,3
гімн,3
гілка,3
гідно,3
греко,3
гостя,3
господарство,3
головня,3
геноцид,3
гармонія,3
вірність,3
вільнюсі,3
візового,3
відіграти,3
відчути,3
відсутність,3
відновлювати,3
відкритість,3
відкривати,3
віддати,3
відданість,3
вчитель,3
втрачати,3
встановити,3
всесвітній,3
вразливий,3
впливати,3
воєнний,3
ворожий,3
ворог,3
воля,3
вмс,3
влаштувати,3
вклонятися,3
виступити,3
виступ,3
вирішуватися,3
вирішувати,3
вирішити,3
використовувати,3
визначити,3
визнати,3
визнання,3
визнаний,3
видобуток,3
взаємодіяти,3
ветеран,3
вересень,3
величність,3
вдаватися,3
вартість,3
вакцинації,3
білорус,3
бізнесмен,3
боєць,3
борт,3
боронити,3
бойовий,3
березень,3
батько,3
антикорупційних,3
анексії,3
амбітні,3
авіаційний,3
авіакатастрофі,3
Шевченко,3
Чорнобиль,3
Різдво,3
Запоріжжя,3
Грузія,3
Великдень,3
Британія,3
Бразилія,3
Алла,3
Іспанія,3
Євросоюз,3
n,3
італієць,2
інтернет,2
інтелект,2
інвестування,2
інавгурації,2
імя,2
імунітет,2
імператор,2
європеєць,2
євроатлантичні,2
єврейський,2
євгеновича,2
якість,2
юний,2
юдей,2
щоразу,2
щомісяця,2
щоденний,2
щастя,2
штучний,2
широкий,2
шестеро,2
швидко,2
швецією,2
швейцарський,2
шахтар,2
шанувати,2
чужий,2
чотири,2
чинник,2
чинний,2
черга,2
цінний,2
цифровізації,2
цифра,2
цивілізація,2
церква,2
ххі,2
христовий,2
хороший,2
херсонщині,2
хвилина,2
хануки,2
хаг,2
фізкультури,2
футболіст,2
футбольний,2
функціонування,2
фукусіма,2
фронт,2
формувати,2
формування,2
флот,2
флешмобу,2
федіна,2
федеральний,2
учень,2
учення,2
утримуваних,2
утвердження,2
усвідомлювати,2
університет,2
уміння,2
укладення,2
удома,2
уважно,2
тіло,2
туристичний,2
туберкульоз,2
трибуна,2
три,2
третій,2
траншу,2
транспортний,2
трансляція,2
транзитний,2
торік,2
топ,2
товарообігу,2
товар,2
тисячоліття,2
тероризм,2
термін,2
теракт,2
тенісі,2
тенденція,2
творити,2
твердий,2
тані,2
талант,2
січень,2
січа,2
сімї,2
сімям,2
сягнути,2
сьомий,2
сьогоднішній,2
сьогодення,2
схожий,2
супроводжувати,2
судочинство,2
суверенний,2
субота,2
стіл,2
студент,2
стрільбі,2
стосунок,2
сторож,2
стиль,2
статус,2
стартує,2
станція,2
станути,2
станиці,2
стадіон,2
ставити,2
спілкування,2
співчувати,2
спрощення,2
спроба,2
спричинений,2
спогад,2
список,2
спекуляція,2
союзників,2
союзникам,2
союзника,2
солдат,2
сміливий,2
смуток,2
служіння,2
служити,2
слуга,2
славетний,2
скасувати,2
скарбничці,2
синьо,2
серйозно,2
серйозний,2
середній,2
середнє,2
серджіо,2
селище,2
світлий,2
сбу,2
самостійно,2
самоврядування,2
самеах,2
савчук,2
рішучість,2
рідня,2
рух,2
руйнівний,2
руйнувати,2
росією,2
російській,2
російської,2
російських,2
романчука,2
роман,2
розробка,2
розпоряджатися,2
розповідати,2
розкриття,2
розкрити,2
розвідник,2
розвідка,2
розвиватися,2
розблокування,2
родич,2
ризикувати,2
решта,2
реформуємо,2
реформувати,2
репутація,2
релігійний,2
революція,2
реалізуватися,2
рахунок,2
радянський,2
радник,2
піхота,2
піти,2
підґрунтя,2
підприємство,2
підприємництво,2
підприємець,2
підняти,2
підготовлений,2
півроку,2
південний,2
пріоритетний,2
проїхати,2
проінформував,2
прославляти,2
прозвучати,2
продукція,2
продажа,2
продавати,2
прогресивний,2
проводити,2
приїзд,2
приємність,2
приєднання,2
пришвидшити,2
пришвидшенні,2
приходити,2
притягнення,2
присутній,2
прискорення,2
присвячений,2
присвятити,2
примноження,2
примирення,2
прикордонний,2
прийняти,2
прийдешній,2
привезти,2
привабливий,2
прибрати,2
премєра,2
прекрасний,2
представляти,2
представлений,2
предок,2
праця,2
правопорядок,2
правоохоронний,2
правдивий,2
поєднувати,2
поштовх,2
поширення,2
почутити,2
починатися,2
потрібен,2
потекти,2
посісти,2
посідати,2
постраждати,2
постати,2
поставити,2
поспілкувалися,2
посилювати,2
посилання,2
порятунок,2
порозуміння,2
поразка,2
попередження,2
понести,2
політика,2
полон,2
поле,2
показник,2
позбутися,2
позбавити,2
пожежний,2
подорож,2
податок,2
подарунок,2
подарувати,2
погоджуватися,2
повітряний,2
повноправним,2
побачитися,2
пм,2
площа,2
плавця,2
плавець,2
перлина,2
перехід,2
перепризначенням,2
переобранням,2
перемогти,2
перемиря,2
переказати,2
перезавантажити,2
переживати,2
передусім,2
передумова,2
перевищити,2
педагог,2
певний,2
пацієнт,2
пастка,2
парламентський,2
парк,2
паралімпійців,2
папір,2
паперовий,2
папа,2
памятати,2
памятайте,2
падіння,2
охочий,2
охорона,2
особовий,2
особистість,2
основний,2
освічений,2
орієнтир,2
опікуватися,2
опора,2
оператор,2
оперативний,2
окупант,2
одеський,2
оголосити,2
обєктів,2
обєкти,2
обєднати,2
обєднання,2
обєднав,2
обшук,2
обсягти,2
обставина,2
обряд,2
облаштування,2
область,2
німеччині,2
німеччина,2
нормандської,2
нормальний,2
новітній,2
новообраного,2
низка,2
неупередженого,2
нести,2
нереально,2
неприпустимі,2
непохитний,2
непереможний,2
неоціненний,2
ненормально,2
незламність,2
незалежно,2
незабаром,2
недуг,2
негативний,2
невідємними,2
невичерпний,2
невдовзі,2
національність,2
нацизмом,2
нафта,2
науковець,2
натхнення,2
настрій,2
насичений,2
населений,2
народовладдя,2
напружений,2
наполягати,2
наповнювати,2
найщиріші,2
найцінніший,2
найнижчий,2
найголовніший,2
найважливіший,2
називати,2
назва,2
надихають,2
надзвичайний,2
надважливі,2
нагадати,2
навчитися,2
навчальний,2
міст,2
міграція,2
мусульманський,2
мужній,2
мудрий,2
море,2
момент,2
модель,2
могила,2
мовчати,2
мова,2
мобільний,2
меценат,2
мережа,2
меншина,2
меморіальний,2
меморіал,2
медіа,2
медицина,2
мвф,2
мау,2
маттареллою,2
масштаб,2
маска,2
маріуполь,2
марківа,2
малечі,2
маленький,2
максимально,2
майдан,2
магучіх,2
лісовий,2
ліквідувати,2
лідерство,2
ліга,2
любити,2
луцький,2
луганщині,2
летовища,2
леді,2
легко,2
легендарний,2
легенда,2
кіно,2
кілометр,2
кіберпросторі,2
кібербезпека,2
курорт,2
купити,2
куміте,2
культурний,2
кулак,2
кувейту,2
кубок,2
круто,2
кримчан,2
кримськотатарський,2
красень,2
коханий,2
користуватися,2
координувати,2
концтабір,2
концесії,2
концепція,2
контролювати,2
контакт,2
конструктор,2
консолідація,2
конкурентоспроможною,2
конкурентний,2
комітет,2
компютер,2
компенсація,2
командний,2
колір,2
колишній,2
кнр,2
км,2
київський,2
кидати,2
квітень,2
квартира,2
кашице,2
капітал,2
кадровий,2
кава,2
кабула,2
кабмін,2
зібратися,2
зясувати,2
зустріти,2
зустрінутися,2
зсу,2
зростати,2
знищити,2
зміцнювати,2
змінити,2
злодій,2
зло,2
здійснитися,2
звичний,2
звернення,2
збирати,2
заява,2
захисниці,2
затримка,2
затримання,2
затриманий,2
затвердити,2
засудити,2
засуджений,2
заслухаю,2
засвідчити,2
заряд,2
заробітний,2
запропонований,2
започаткувати,2
запобігання,2
заплатити,2
запасний,2
занепокоєння,2
замок,2
замало,2
заліку,2
залучення,2
залишитися,2
залишити,2
зал,2
закінчуватися,2
закордонний,2
зазнати,2
забутити,2
забувати,2
жовтий,2
живий,2
епізод,2
еміра,2
емоція,2
експертний,2
евакуйовано,2
ділитися,2
діджиталізація,2
діагноз,2
душа,2
духовний,2
дружина,2
доход,2
досвідчений,2
долучився,2
додаток,2
додатковий,2
добудова,2
дискусія,2
дивувати,2
джонсона,2
деталь,2
державність,2
деревина,2
деолігархізацію,2
демонструвати,2
двоє,2
двопартійну,2
гіркий,2
гідність,2
гутерріша,2
гуманізм,2
грн,2
графік,2
готуватися,2
готувати,2
гострий,2
гостинність,2
гостинний,2
горизонт,2
гора,2
голосування,2
голод,2
година,2
глава,2
героїзм,2
географія,2
гелікоптера,2
гарно,2
гарантія,2
гарант,2
вірус,2
віросповідання,2
відчинений,2
відстоюванні,2
відстоювання,2
відстань,2
відомий,2
відзначатися,2
відділення,2
відданий,2
відвертий,2
відважний,2
відвага,2
відбір,2
відбудова,2
вязнів,2
вчитися,2
вчити,2
вчасна,2
вуста,2
втілювати,2
втрачений,2
встановлений,2
всебічно,2
врятувати,2
врахувати,2
вражати,2
впроваджувати,2
вправний,2
впоратися,2
востаннє,2
воскреснути,2
вогнеборцям,2
вночі,2
внесення,2
власність,2
вишиванки,2
вихід,2
виходити,2
вихованець,2
виступати,2
вистояти,2
висота,2
висновок,2
вирішений,2
вирушити,2
виробництво,2
випадок,2
вилетіти,2
викладач,2
видатний,2
виграти,2
вивчити,2
вивезти,2
вибух,2
взірець,2
веслувальник,2
верховенства,2
вдосконалення,2
вважати,2
вакциною,2
вакцин,2
вага,2
бін,2
бюджетний,2
будинок,2
братній,2
брат,2
боєздатні,2
боятися,2
блискучий,2
битися,2
безпечно,2
безпекова,2
бачення,2
батьківський,2
батьки,2
басейн,2
банк,2
бал,2
базовий,2
база,2
бажання,2
асоційоване,2
архітектура,2
артистичний,2
антоніу,2
антикорупційної,2
антикорупційного,2
анексію,2
ангелою,2
аналог,2
ан,2
амбіція,2
амбулаторій,2
аль,2
алексіїва,2
активно,2
акт,2
аес,2
адекватний,2
авіація,2
авіакатастрофи,2
автобус,2
Ярослав,2
Юрій,2
Шевчук,2
Чехія,2
Чернігів,2
Христос,2
Херсон,2
Сергій,2
Португалія,2
Патон,2
Олександр,2
Оксана,2
Марта,2
Македонія,2
Корея,2
Катерина,2
Дніпро,2
Денис,2
Греція,2
Віталій,2
Владислава,2
Вашингтон,2
Анна,2
Ірина,2
Євгенія,2
ukraine,2
u,2
paperless,2
out,2
not,2
miss,2
dont,2
by,2
ґрунт,1
ґрати,1
їі,1
їсти,1
їда,1
іудей,1
ітися,1
істотно,1
історико,1
історик,1
іспит,1
іригацію,1
іранців,1
інцидент,1
інфраструктурні,1
інфополі,1
інтронізації,1
інтернету,1
інтернат,1
інтервю,1
інтелектуал,1
інтегрується,1
інтегрований,1
інстанція,1
інжинірингу,1
інвестуємо,1
інвестуйте,1
інвестував,1
інавгурацією,1
імідж,1
імпічмент,1
імпульс,1
імпортний,1
імплементації,1
іменують,1
ім,1
іл,1
ізраїльтянам,1
ізраїльтян,1
ізолюватися,1
ідеологія,1
ідентичність,1
ідентифікація,1
ідеальний,1
ідеал,1
ігнорувати,1
івентів,1
івано,1
єтнаму,1
ємені,1
ємельянов,1
єк,1
єднатися,1
єгипетський,1
євроінтеграції,1
євроінтеграційного,1
євроради,1
єврооблігацій,1
єврокомісією,1
єврокомісаром,1
євробондів,1
євроатлантичний,1
яхтсменів,1
яхно,1
ятатиме,1
ясний,1
ядерний,1
юридичний,1
юніорської,1
ювілей,1
щотижня,1
щонайперше,1
щоденно,1
щедрий,1
щастити,1
щасливчиків,1
шість,1
шпажистів,1
шотландії,1
шостий,1
шокований,1
шкільний,1
шкодувати,1
шинкаренко,1
шелков,1
шейха,1
шедевр,1
швеція,1
шахта,1
шаурма,1
шаройко,1
шарлю,1
шанувальник,1
шана,1
шалленберга,1
шалений,1
чітко,1
чудово,1
чудо,1
чорноморсько,1
чоловік,1
читати,1
читання,1
чисельність,1
чинність,1
чимало,1
чечоткіна,1
четверікова,1
четверть,1
чесність,1
черкасову,1
червоний,1
чемпіонські,1
чемпіонство,1
чемпіонку,1
чемезов,1
чекапи,1
частинка,1
часовий,1
чапкіс,1
чайка,1
чаес,1
цінніша,1
ціннісний,1
цінно,1
цілісний,1
цілодобово,1
цілий,1
цьогорічному,1
цьогорічного,1
цьогорічне,1
цунамі,1
цнапи,1
цнап,1
цифровізуємо,1
цифровізація,1
цивілізовано,1
цивільний,1
цвєтов,1
художник,1
хрещення,1
хотітися,1
хорватія,1
хорватської,1
хомчаку,1
хомчака,1
хомича,1
ходити,1
хмельниччині,1
хижняк,1
хештег,1
херсонщино,1
хейту,1
хворий,1
хвиля,1
хвилювати,1
харчування,1
харківщині,1
хаотичний,1
хамаду,1
халіфі,1
халіду,1
хакатон,1
хабад,1
фірташ,1
фінський,1
фінансувати,1
фінансування,1
фінансисти,1
фінанси,1
фільм,1
фіксований,1
фіксація,1
фури,1
функція,1
функціонувати,1
фуміо,1
фукс,1
фріланд,1
фрн,1
фредеріксен,1
франциска,1
франківщині,1
фракція,1
фото,1
фон,1
флешмоб,1
феєрична,1
фестиваль,1
фейків,1
фейковий,1
фейкам,1
федота,1
фасадну,1
фармацевтичні,1
фантастика,1
фан,1
учнівський,1
учасниця,1
ухвалюються,1
ухвалюю,1
ухвалюватиме,1
утримуватися,1
утримувати,1
уточненими,1
утворення,1
